10394520 4559 55648
809 810 809 9
810 811 810 12
811 812 811 11
812 813 812 12
813 814 813 10
814 815 814 12
815 816 815 11
816 817 816 12
817 818 817 13
818 819 818 7
819 820 819 12
820 821 820 11
821 822 821 12
822 823 822 10
823 824 823 12
824 825 824 11
825 826 825 12
826 827 826 13
827 828 827 9
828 829 828 12
829 830 829 11
830 831 830 12
831 832 831 10
832 833 832 12
833 834 833 11
834 835 834 12
835 836 835 13
836 837 836 8
837 838 837 12
838 839 838 11
839 840 839 12
840 841 840 10
841 842 841 12
-1 4560 -1 12
843 844 843 12
844 845 844 13
845 846 845 9
846 847 846 12
847 848 847 11
848 849 848 12
2764 2765 2764 12
2765 2766 2765 11
2766 2767 2766 12
2767 2768 2767 13
2768 2769 2768 9
2769 2770 2769 12
2770 2771 2770 11
2771 2772 2771 12
2772 2773 2772 10
2773 2774 2773 12
2774 2775 2774 11
2775 2776 2775 12
2776 2777 2776 13
2777 2778 2777 6
2778 2779 2778 12
2779 2780 2779 11
2780 2781 2780 12
2781 2782 2781 10
2782 2783 2782 12
2783 2784 2783 11
2784 2785 2784 12
2785 2786 2785 13
2786 2787 2786 9
2787 2788 2787 12
2788 2789 2788 11
2789 2790 2789 12
2790 2791 2790 10
2791 2792 2791 12
2792 2793 2792 11
2793 2794 2793 12
2794 2795 2794 13
2795 2796 2795 8
2796 2797 2796 12
2797 2798 2797 11
2798 2799 2798 12
2799 2800 2799 10
2800 2801 2800 12
2801 2802 2801 11
2802 2803 2802 12
2803 2804 2803 13
2804 2805 2804 9
2805 2806 2805 12
2806 2807 2806 11
2807 2808 2807 12
2808 2809 2808 10
2809 2810 2809 12
2810 2811 2810 11
2811 2812 2811 12
2812 2813 2812 13
2813 2814 2813 7
2814 2815 2814 12
2815 2816 2815 11
2816 2817 2816 12
2817 2818 2817 10
-1 4560 -1 13
2819 2820 2819 11
2820 2821 2820 12
2821 2822 2821 13
2822 2823 2822 9
2823 2824 2823 12
